,campfilename,monthyear,appcat,totalusagekb,usageperc,cmy
203,Alexandria-Ref_GRE_003,52018,News,130430,0,Alexandria-Ref_GRE_003052018
204,Alexandria-Ref_GRE_003,52018,Photo sharing,75901,0,Alexandria-Ref_GRE_003052018
205,Alexandria-Ref_GRE_003,52018,Security,68476,0,Alexandria-Ref_GRE_003052018
206,Alexandria-Ref_GRE_003,52018,Remote monitoring & management,5942,0,Alexandria-Ref_GRE_003052018
207,Alexandria-Ref_GRE_003,52018,Sports,192,0,Alexandria-Ref_GRE_003052018
208,Alexandria-Ref_GRE_003,52018,Web payments,85,0,Alexandria-Ref_GRE_003052018
209,Alexandria-Ref_GRE_003,52018,Cloud services,65,0,Alexandria-Ref_GRE_003052018
210,Alexandria-Ref_GRE_003,62017,Video,1630501801,64,Alexandria-Ref_GRE_003062017
211,Alexandria-Ref_GRE_003,62017,Other,793160981,31,Alexandria-Ref_GRE_003062017
212,Alexandria-Ref_GRE_003,62017,Social web,89671501,3,Alexandria-Ref_GRE_003062017
213,Alexandria-Ref_GRE_003,62017,Music,7976055,0,Alexandria-Ref_GRE_003062017
214,Alexandria-Ref_GRE_003,62017,Software & anti-virus updates,4928998,0,Alexandria-Ref_GRE_003062017
215,Alexandria-Ref_GRE_003,62017,File sharing,1609899,0,Alexandria-Ref_GRE_003062017
216,Alexandria-Ref_GRE_003,62017,Email,1453706,0,Alexandria-Ref_GRE_003062017
217,Alexandria-Ref_GRE_003,62017,Productivity,583507,0,Alexandria-Ref_GRE_003062017
218,Alexandria-Ref_GRE_003,62017,Online backup,439564,0,Alexandria-Ref_GRE_003062017
219,Alexandria-Ref_GRE_003,62017,VoIP & video conferencing,376635,0,Alexandria-Ref_GRE_003062017
220,Alexandria-Ref_GRE_003,62017,Web file sharing,362803,0,Alexandria-Ref_GRE_003062017
221,Alexandria-Ref_GRE_003,62017,Blogging,268817,0,Alexandria-Ref_GRE_003062017
222,Alexandria-Ref_GRE_003,62017,News,98046,0,Alexandria-Ref_GRE_003062017
223,Alexandria-Ref_GRE_003,62017,P2P,89041,0,Alexandria-Ref_GRE_003062017
224,Alexandria-Ref_GRE_003,62017,Photo sharing,74662,0,Alexandria-Ref_GRE_003062017
225,Alexandria-Ref_GRE_003,62017,Gaming,34898,0,Alexandria-Ref_GRE_003062017
226,Alexandria-Ref_GRE_003,62017,Sports,9639,0,Alexandria-Ref_GRE_003062017
227,Alexandria-Ref_GRE_003,62017,Remote monitoring & management,15,0,Alexandria-Ref_GRE_003062017
228,Alexandria-Ref_GRE_003,62017,Business management,14,0,Alexandria-Ref_GRE_003062017
229,Alexandria-Ref_GRE_003,62018,Other,1343577918,41,Alexandria-Ref_GRE_003062018
